"Municipality"; ".. Anesthesiologist"; ".. General Surgeon"; ".. General Physician"; ".. Gineco Obstetra"; ".. Family Physician"; ".. Pediatrician"; ".. Psychiatrist" ; ".. Radiologist"; ".. Sanitary"; ".. Others"; "Dental surgeon"; "Nurse"; "Physiotherapist"; "Speech therapist"; "Nutritionist"; "Pharmacist"; "Social worker"; " Psychologist ";" Nursing Assistant ";" Nursing Technician ";" Total "
"314610 Ouro Preto";37;83;304;108;27;99;12;19;1;214;93;109;44;17;36;15;17;35;8;299;1577
"314620 Ouro Verde de Minas";-;-;2;-;3;-;-;-;-;-;6;6;1;-;1;1;-;1;1;16;38
"314625 Padre Carvalho";-;-;-;-;3;-;-;-;-;-;2;3;2;-;-;2;-;1;1;5;19
"314630 Padre Paraíso";1;1;14;2;7;2;2;2;-;4;12;16;8;-;1;3;2;3;2;31;113
"314655 Pai Pedro";-;-;2;-;3;-;1;1;-;1;5;6;2;1;1;1;1;1;-;8;34
"314640 Paineiras";-;-;7;-;3;-;-;-;-;-;3;7;3;2;3;1;1;4;1;8;43
"314650 Pains";1;1;13;4;5;2;1;1;-;2;4;9;5;1;1;2;-;5;8;13;78
"314660 Paiva";-;-;1;1;1;1;-;-;-;-;2;2;2;-;1;1;-;1;-;5;18
"314670 Palma";1;-;9;1;5;1;1;2;-;4;9;11;6;2;-;4;2;3;-;17;78
"314675 Palmópolis";-;-;4;-;3;-;-;-;-;-;3;9;3;-;1;1;-;1;2;10;37
"314690 Papagaios";-;1;4;2;6;4;4;-;-;6;7;9;5;5;5;3;-;5;3;18;87
"314710 Pará de Minas";11;29;152;40;33;45;12;17;-;191;75;192;53;14;17;24;13;57;20;337;1332
"314700 Paracatu";8;18;83;27;23;31;3;10;-;138;80;92;30;13;12;7;8;26;1;248;858
"314720 Paraguaçu";4;5;16;12;5;12;2;2;-;17;18;24;9;2;4;3;2;5;2;31;175
"314730 Paraisópolis";1;7;24;7;5;9;3;4;-;37;63;16;12;6;2;4;2;9;1;46;258
"314740 Paraopeba";-;-;28;5;5;8;2;-;-;5;26;17;9;4;1;3;2;17;4;13;149
"314760 Passa Quatro";1;6;19;9;6;8;2;2;-;21;21;24;8;5;1;1;4;6;-;39;183
"314770 Passa Tempo";1;1;6;-;4;2;-;-;-;-;6;13;9;1;2;2;2;3;-;15;67
"314780 Passa-Vinte";-;-;1;1;1;-;1;-;-;-;4;4;2;-;1;1;-;2;1;3;22
"314750 Passabém";-;-;1;-;1;-;-;-;-;-;3;6;2;1;1;2;-;1;-;5;23
"314790 Passos";18;92;230;62;30;62;13;32;-;478;132;280;77;35;32;25;36;69;6;514;2223
"314795 Patis";-;-;4;-;3;-;-;-;-;-;4;4;1;-;1;1;1;1;-;12;32
"314800 Patos de Minas";47;75;275;101;43;86;26;35;-;578;380;353;185;34;52;152;32;124;46;1056;3680
"314810 Patrocínio";12;35;136;60;23;31;14;20;-;287;166;119;92;26;26;20;20;67;-;409;1563
"314820 Patrocínio do Muriaé";-;-;3;1;3;-;-;-;-;-;7;4;2;-;-;1;-;1;-;10;32
"314830 Paula Cândido";-;-;7;1;5;1;-;-;-;1;9;10;4;1;2;9;3;3;-;15;71
"314840 Paulistas";-;-;2;-;2;-;-;-;-;-;3;3;1;-;1;-;-;1;-;11;24
"314850 Pavão";-;1;4;1;4;-;-;-;-;-;3;7;3;-;1;2;-;1;1;18;46
"314860 Peçanha";1;3;20;5;6;3;1;1;-;8;13;19;7;3;2;2;-;4;1;22;121
"314870 Pedra Azul";4;4;15;6;8;3;2;3;-;12;11;32;10;1;4;7;9;8;1;48;188
"314875 Pedra Bonita";-;-;3;1;3;1;-;-;-;-;6;5;2;-;1;2;1;1;-;7;33
"314880 Pedra do Anta";-;-;11;1;2;-;1;-;-;1;2;8;3;-;2;2;2;2;-;10;47
"314890 Pedra do Indaiá";-;-;6;2;2;1;1;-;-;-;1;6;1;2;1;1;2;4;1;12;43
"314900 Pedra Dourada";-;-;1;1;1;1;-;-;-;2;5;2;2;1;2;1;1;1;-;6;27
"314910 Pedralva";-;-;3;1;4;1;1;-;-;1;8;15;5;1;1;3;1;3;2;20;70
"314915 Pedras de Maria da Cruz";-;-;-;1;5;-;-;-;-;-;6;6;2;-;2;2;1;2;1;17;45
"314920 Pedrinópolis";-;-;4;-;1;1;-;-;-;-;4;4;2;-;1;2;-;1;-;7;27
"314930 Pedro Leopoldo";17;8;68;29;15;43;8;18;-;113;94;68;22;15;11;9;6;29;-;160;733
"314940 Pedro Teixeira";-;-;1;1;1;1;1;-;-;-;3;3;2;1;1;1;-;1;-;5;22
"314950 Pequeri";-;-;6;1;1;1;-;-;-;2;4;7;3;2;1;1;-;2;1;8;40
"314960 Pequi";-;-;2;1;2;1;1;-;-;2;3;5;1;-;-;1;-;1;2;8;30
"314970 Perdigão";-;-;4;2;4;1;-;-;-;2;5;13;3;1;1;3;-;2;4;8;53
"314980 Perdizes";2;5;17;4;6;2;-;5;-;6;27;24;31;4;3;4;1;4;2;16;163
"314990 Perdões";2;5;36;11;6;10;-;6;-;17;27;17;17;4;2;2;2;14;3;22;203
"314995 Periquito";-;-;3;1;3;1;-;-;-;-;3;7;4;2;2;2;1;2;-;15;46
"315000 Pescador";-;-;1;-;2;-;-;-;-;-;2;9;2;-;1;1;1;1;1;8;29
"315010 Piau";-;-;2;1;1;1;-;-;-;-;4;4;4;-;1;1;2;1;-;8;30
"315015 Piedade de Caratinga";-;1;4;1;4;1;-;-;-;-;4;9;5;-;1;3;1;1;-;9;44
"315020 Piedade de Ponte Nova";-;-;-;1;2;1;-;-;-;-;2;11;3;1;1;1;-;1;-;10;34
"315030 Piedade do Rio Grande";-;-;7;2;2;1;-;2;-;4;3;9;2;1;-;3;-;2;-;20;58
"315040 Piedade dos Gerais";-;-;2;1;5;1;-;-;-;1;9;5;3;1;-;1;1;1;-;5;36
"315050 Pimenta";-;1;4;3;3;4;1;-;-;2;6;9;5;1;1;5;2;5;-;15;67
"315053 Pingo-d'Água";-;-;2;1;2;-;-;-;-;-;6;6;2;-;1;-;-;1;-;12;33
"315057 Pintópolis";-;-;1;-;4;-;-;-;-;-;4;7;1;-;-;2;-;1;4;9;33
"315060 Piracema";-;-;3;2;3;-;-;-;-;1;8;8;3;3;-;-;1;1;-;16;49
"315070 Pirajuba";-;-;9;1;1;1;-;-;-;-;3;8;1;-;-;2;-;2;-;20;48
"315080 Piranga";-;-;5;2;9;3;2;-;-;4;9;12;4;4;2;2;2;7;7;38;112
"315090 Piranguçu";-;-;3;1;2;3;-;-;-;-;5;4;2;-;-;1;-;1;-;6;28
"315100 Piranguinho";-;-;6;2;4;3;-;-;-;2;10;8;5;2;1;2;-;7;1;9;62
"315110 Pirapetinga";2;1;11;4;4;4;-;1;-;2;7;16;6;2;3;3;2;1;-;23;92
"315120 Pirapora";7;16;51;24;19;24;5;15;-;108;61;96;40;15;13;17;17;35;5;220;788
"315130 Piraúba";-;-;4;1;4;1;1;1;-;2;9;9;9;3;3;-;2;4;-;14;67
"315140 Pitangui";2;11;33;8;10;11;2;2;-;21;23;16;7;2;2;5;3;5;4;22;189
"315150 Piumhi";9;15;81;18;22;12;6;10;-;92;44;83;57;6;19;12;7;40;1;119;653
"315160 Planura";-;-;20;2;3;1;-;2;-;1;8;11;7;2;-;2;1;11;1;22;94
"315170 Poço Fundo";2;6;26;12;6;4;2;3;1;20;23;28;9;3;2;5;2;7;1;25;187
"315180 Poços de Caldas";67;111;374;148;40;119;35;60;-;902;398;453;240;60;52;40;34;187;-;670;3990
"315190 Pocrane";-;-;5;-;3;-;-;-;-;-;2;11;2;1;2;1;-;1;1;11;40
"315200 Pompéu";5;6;30;9;9;8;1;2;-;19;30;24;13;2;4;5;2;9;-;62;240
"315210 Ponte Nova";12;24;151;44;26;38;12;21;-;291;100;143;42;17;30;19;17;33;4;496;1520
"315213 Ponto Chique";-;-;3;-;2;-;-;-;-;-;2;4;2;-;1;-;1;-;-;27;42
"315217 Ponto dos Volantes";-;-;7;1;6;1;1;1;-;1;6;18;1;-;1;3;1;3;-;24;75
"315220 Porteirinha";1;7;14;4;26;4;3;1;-;14;29;49;11;3;3;3;3;7;8;59;249
"315230 Porto Firme";-;-;2;1;8;1;1;-;-;1;8;9;8;1;2;1;4;5;-;19;71
"315240 Poté";-;-;9;1;6;1;2;2;-;-;9;16;8;1;2;3;3;3;8;24;98
"315250 Pouso Alegre";52;77;233;157;36;197;27;65;1;897;229;317;155;44;47;23;27;107;32;595;3318
"315260 Pouso Alto";1;1;11;2;2;3;1;-;-;4;5;8;3;-;2;2;1;4;-;17;67
"315270 Prados";-;-;4;1;4;1;2;2;-;-;-;7;6;2;2;2;2;5;-;12;52
"315280 Prata";1;5;41;9;8;10;3;4;-;20;41;29;15;5;5;2;6;11;1;64;280
"315290 Pratápolis";-;1;11;-;4;1;2;-;-;2;4;10;2;2;1;1;-;2;1;15;59
"315300 Pratinha";-;-;7;1;1;1;-;1;-;2;2;6;2;-;-;1;-;1;1;-;26
"315310 Presidente Bernardes";-;-;4;1;3;3;-;1;-;-;5;8;5;1;6;3;2;6;1;26;75
"315320 Presidente Juscelino";-;-;-;1;2;1;-;-;-;-;4;5;2;-;1;2;1;1;2;6;28
"315330 Presidente Kubitschek";-;-;3;1;2;1;-;-;-;1;4;8;3;-;1;1;-;1;-;10;36
"315340 Presidente Olegário";2;2;19;4;8;-;-;2;-;5;7;15;8;1;3;6;6;8;-;33;129
"315360 Prudente de Morais";-;-;5;2;4;1;1;-;-;1;2;8;1;1;1;1;-;3;1;13;45
"315370 Quartel Geral";-;-;3;1;1;-;-;-;-;1;1;2;1;-;2;1;-;1;-;7;21
"315380 Queluzito";-;-;1;1;1;1;-;-;-;1;2;2;1;1;1;1;-;1;-;3;17
"315390 Raposos";-;1;14;4;5;1;1;-;-;12;10;10;4;1;1;1;1;4;-;16;86
"315400 Raul Soares";5;9;29;4;17;6;1;5;-;27;24;21;7;3;1;7;3;8;3;29;209
"315410 Recreio";1;2;13;4;3;4;1;1;-;7;5;13;2;-;1;4;-;1;3;24;89
"315415 Reduto";-;-;2;-;5;-;-;-;-;-;3;6;1;1;1;3;1;1;1;5;30
"315420 Resende Costa";3;4;19;2;4;5;-;1;-;11;9;13;2;-;2;4;-;3;10;28;120
"315430 Resplendor";3;5;16;7;5;4;1;-;-;14;11;28;4;1;3;11;3;6;6;56;184
"315440 Ressaquinha";-;-;11;2;2;2;1;1;-;2;4;7;2;1;1;4;-;2;-;12;54
"315445 Riachinho";-;-;5;-;4;-;-;-;-;1;3;7;2;-;-;3;1;1;-;14;41
"315450 Riacho dos Machados";-;-;-;-;4;-;-;-;-;-;4;7;3;-;1;1;2;1;2;7;32
"315460 Ribeirão das Neves";9;20;116;34;74;45;32;16;-;97;109;264;56;19;23;26;59;69;1;556;1625
"315470 Ribeirão Vermelho";-;1;6;2;1;1;-;1;-;3;3;3;1;-;-;1;-;3;-;6;32
"315480 Rio Acima";-;-;12;2;5;2;1;2;-;1;3;13;6;1;-;2;1;3;-;23;77
"315490 Rio Casca";4;7;20;7;7;5;1;2;-;14;21;13;9;5;4;6;2;8;-;27;162
"315510 Rio do Prado";-;-;2;-;4;-;-;-;-;-;4;8;2;-;1;-;1;1;-;9;32
"315500 Rio Doce";-;-;2;1;1;2;1;-;-;-;3;3;2;1;1;1;-;1;-;8;27
"315520 Rio Espera";-;-;4;1;3;1;1;-;-;1;2;12;1;1;2;2;1;1;-;16;49
"315530 Rio Manso";-;-;3;2;2;1;1;-;-;4;2;6;2;1;1;-;-;1;2;4;32
"315540 Rio Novo";-;-;7;-;4;-;3;-;-;1;4;10;4;2;1;1;2;5;-;14;58
"315550 Rio Paranaíba";2;1;7;2;5;1;1;1;-;4;20;17;5;-;1;4;-;1;-;27;99
"315560 Rio Pardo de Minas";1;2;15;-;10;4;2;4;-;6;28;26;6;3;1;2;5;6;9;20;150
"315570 Rio Piracicaba";1;2;12;2;5;-;-;-;-;2;12;14;2;-;1;3;2;1;-;27;86
"315580 Rio Pomba";6;4;22;7;6;8;4;2;-;22;17;22;16;8;6;4;4;23;2;35;218
"315590 Rio Preto";1;1;6;1;2;-;-;-;-;-;3;8;3;1;-;2;-;1;-;14;43
"315600 Rio Vermelho";-;-;6;2;4;1;1;-;-;-;8;10;2;1;2;3;1;4;1;24;70
"315610 Ritápolis";-;-;3;2;2;1;1;-;-;1;3;4;3;3;1;2;1;4;-;6;37
"315620 Rochedo de Minas";-;-;1;-;1;1;-;-;-;1;3;2;3;2;1;1;2;2;-;5;25
"315630 Rodeiro";-;-;-;1;3;1;-;-;-;2;3;6;5;-;1;1;1;2;-;11;37
"315640 Romaria";-;-;5;1;1;1;-;2;-;3;2;5;2;1;-;1;-;2;-;5;31
"315645 Rosário da Limeira";-;-;2;1;2;-;-;-;-;1;3;5;5;-;1;-;-;-;-;10;30
"315650 Rubelita";-;-;6;-;4;-;-;-;-;-;6;10;2;-;1;1;1;2;4;9;46
"315660 Rubim";1;1;6;1;4;2;1;3;-;4;7;11;3;-;1;2;3;3;5;7;65
"315670 Sabará";6;29;122;23;30;53;8;13;-;91;56;113;33;15;8;10;10;22;16;166;824
"315680 Sabinópolis";3;3;9;5;8;4;1;1;-;8;11;12;4;-;2;5;1;4;3;25;109
"315690 Sacramento";4;8;40;13;9;14;2;8;-;40;56;43;18;4;11;5;6;25;10;44;360
"315700 Salinas";6;7;36;10;20;9;4;5;-;33;49;60;36;7;8;9;12;16;4;102;433
"315710 Salto da Divisa";-;1;4;1;3;-;-;3;-;-;3;8;2;-;1;3;1;1;-;17;48
"315720 Santa Bárbara";3;11;58;17;15;9;6;5;-;49;43;33;18;6;7;8;1;18;5;73;385
"315725 Santa Bárbara do Leste";-;-;-;1;4;-;-;-;-;-;2;6;2;-;-;1;1;1;1;4;23
"315727 Santa Bárbara do Monte Verde";-;-;2;1;1;-;1;-;-;2;7;6;1;-;1;1;-;-;-;10;33
"315730 Santa Bárbara do Tugúrio";-;-;1;1;2;1;-;-;-;-;2;3;2;1;1;1;-;2;-;4;21
"315733 Santa Cruz de Minas";-;-;3;1;3;1;-;-;-;2;2;4;3;1;1;1;-;3;-;8;33
"315737 Santa Cruz de Salinas";-;-;2;-;2;-;-;-;-;-;2;5;2;-;1;1;-;2;-;7;24
"315740 Santa Cruz do Escalvado";-;1;1;1;2;1;-;-;-;1;6;4;3;1;2;1;1;1;-;14;40
"315750 Santa Efigênia de Minas";-;-;1;-;2;-;-;-;-;-;3;5;2;-;2;1;1;2;-;7;26
"315760 Santa Fé de Minas";-;-;1;-;2;-;-;-;-;-;2;7;1;-;1;1;1;1;-;12;29
"315765 Santa Helena de Minas";-;-;2;-;3;-;-;-;-;-;5;6;2;-;1;1;1;1;1;28;51
"315770 Santa Juliana";1;1;17;7;3;7;1;1;-;10;22;12;9;2;3;6;-;5;1;25;133
"315780 Santa Luzia";16;46;227;26;58;71;20;13;-;137;115;143;55;54;15;13;20;45;-;301;1375
"315790 Santa Margarida";1;2;9;3;8;2;1;1;-;4;6;14;6;2;2;5;2;4;1;29;102
"315800 Santa Maria de Itabira";-;-;5;1;4;-;-;-;-;1;5;5;5;-;1;1;1;3;-;11;43
"315810 Santa Maria do Salto";-;-;7;-;2;-;-;-;-;-;2;6;3;-;1;1;1;1;-;13;37
"315820 Santa Maria do Suaçuí";1;2;10;1;7;1;1;1;-;1;10;17;5;-;3;3;1;3;2;14;83
"315920 Santa Rita de Caldas";-;-;3;2;3;1;1;-;-;1;11;9;9;-;1;2;-;2;2;8;55
"315940 Santa Rita de Ibitipoca";-;-;6;2;2;1;-;-;-;1;5;6;2;1;1;1;1;1;-;15;45
"315930 Santa Rita de Jacutinga";-;-;11;1;2;-;-;1;-;5;5;11;4;1;1;2;-;2;-;11;57
"315935 Santa Rita de Minas";-;-;4;1;4;1;-;-;-;-;9;7;4;1;2;1;1;2;-;13;50
"315950 Santa Rita do Itueto";-;-;1;-;2;-;-;-;-;-;4;6;3;-;2;3;-;2;-;17;40
"315960 Santa Rita do Sapucaí";5;15;53;32;9;18;7;12;-;81;51;38;46;9;11;9;5;23;8;53;485
"315970 Santa Rosa da Serra";-;-;3;2;1;1;-;-;-;-;7;5;4;-;1;2;1;2;-;13;42
"315980 Santa Vitória";3;3;24;7;7;4;1;4;-;8;28;20;9;2;2;7;3;12;1;44;189
"315830 Santana da Vargem";-;1;4;-;4;1;-;-;-;2;8;7;4;2;1;-;1;2;-;13;50
"315840 Santana de Cataguases";-;-;-;1;2;1;-;-;-;-;6;3;3;-;1;1;-;1;-;4;23
"315850 Santana de Pirapama";-;-;1;3;4;-;-;-;-;-;3;21;2;1;1;-;1;1;-;14;52
"315860 Santana do Deserto";-;-;4;2;2;1;-;-;-;1;10;3;2;-;-;-;-;1;2;-;28
"315870 Santana do Garambéu";-;-;3;-;1;-;-;-;-;-;2;5;3;1;1;1;-;3;-;9;29
"315880 Santana do Jacaré";-;-;3;1;2;-;-;-;-;1;5;5;2;-;2;-;-;1;3;1;26
"315890 Santana do Manhuaçu";-;-;2;1;3;1;-;-;-;-;5;8;2;-;1;2;-;1;1;13;40
"315895 Santana do Paraíso";-;1;4;3;12;2;2;-;-;-;20;19;5;4;4;2;2;7;-;23;110
"315900 Santana do Riacho";-;-;2;2;2;2;2;-;-;-;2;3;3;1;2;1;-;4;1;9;36
"315910 Santana dos Montes";-;-;3;1;2;2;-;-;-;-;2;3;3;1;1;1;-;1;-;10;30
"315990 Santo Antônio do Amparo";7;7;27;2;8;8;2;6;-;37;15;26;11;3;8;5;4;4;2;67;249
"316000 Santo Antônio do Aventureiro";-;-;3;1;1;4;-;-;-;-;5;4;2;1;2;1;-;1;2;5;32
"316010 Santo Antônio do Grama";-;-;3;1;2;1;-;-;-;2;6;13;2;1;3;1;1;2;-;10;48
"316020 Santo Antônio do Itambé";-;-;-;1;2;1;-;-;-;-;2;3;1;-;-;-;-;1;1;6;18
"316030 Santo Antônio do Jacinto";-;-;1;-;7;-;-;-;-;1;6;9;3;-;1;2;1;1;-;16;48
"316040 Santo Antônio do Monte";7;11;51;11;11;3;2;7;-;38;26;60;12;2;5;10;5;11;1;88;361
"316045 Santo Antônio do Retiro";-;-;2;-;6;-;-;-;-;-;5;7;3;-;1;1;-;1;-;12;38
"316050 Santo Antônio do Rio Abaixo";-;-;-;-;1;-;-;-;-;-;1;4;1;1;3;1;-;-;-;5;17
"316060 Santo Hipólito";-;1;-;1;2;-;-;-;-;-;2;3;1;-;1;1;-;1;-;11;24
"316070 Santos Dumont";2;5;56;17;19;15;1;5;-;51;31;56;14;2;4;11;4;12;-;146;451
"316080 São Bento Abade";-;1;2;2;3;-;-;-;-;4;2;8;2;-;-;1;-;-;-;13;38
"316090 São Brás do Suaçuí";-;-;4;1;2;1;-;2;-;6;5;3;2;1;-;2;-;1;-;7;37
"316095 São Domingos das Dores";-;-;2;1;2;1;-;-;-;-;3;4;2;-;1;1;-;1;-;9;27
"316100 São Domingos do Prata";2;3;21;5;6;2;1;1;-;5;7;13;6;1;-;2;1;7;1;32;116
"316105 São Félix de Minas";-;-;1;1;2;1;1;-;-;-;8;4;4;-;1;1;1;2;-;17;44
"316110 São Francisco";2;3;22;5;16;3;-;4;-;20;15;43;10;2;3;6;3;8;5;81;251
"316120 São Francisco de Paula";-;-;4;2;3;-;-;-;-;-;3;7;1;1;1;1;-;1;-;6;30
"316130 São Francisco de Sales";-;-;20;1;1;2;1;-;-;2;4;7;4;1;3;4;-;1;1;11;63
"316140 São Francisco do Glória";-;-;3;1;3;1;1;-;-;2;5;10;3;1;1;1;3;5;-;9;49
"316150 São Geraldo";-;-;2;1;8;1;-;-;-;-;8;5;2;-;1;2;1;1;1;10;43
"316160 São Geraldo da Piedade";-;-;1;-;2;-;-;-;-;-;2;7;1;1;1;1;1;2;-;9;28
"316165 São Geraldo do Baixio";-;-;2;-;2;-;-;-;-;-;3;5;2;1;1;1;-;1;-;11;29
"316170 São Gonçalo do Abaeté";-;-;4;1;2;-;1;-;-;1;4;4;6;1;1;1;-;2;-;13;41
"316180 São Gonçalo do Pará";-;-;7;1;4;1;2;-;-;-;3;11;5;1;1;-;-;3;8;1;48
"316190 São Gonçalo do Rio Abaixo";-;1;14;1;9;1;-;-;-;4;10;13;4;1;2;3;1;7;6;42;119
"312550 São Gonçalo do Rio Preto";-;-;1;-;4;-;-;-;-;-;3;8;2;-;1;1;2;1;5;12;40
"316200 São Gonçalo do Sapucaí";2;4;31;18;4;8;2;-;-;24;42;11;21;1;5;3;3;13;-;24;216
"316210 São Gotardo";2;4;31;10;14;5;4;7;-;48;53;44;30;6;6;7;6;17;-;88;382
"316220 São João Batista do Glória";-;-;20;6;3;1;1;-;-;7;6;18;2;3;2;1;-;8;3;10;91
"316225 São João da Lagoa";-;-;-;2;2;-;-;-;-;1;3;7;3;-;1;1;-;1;-;10;31
"316230 São João da Mata";-;-;3;1;1;1;-;-;-;1;2;3;2;-;1;1;1;2;-;7;26
"316240 São João da Ponte";2;1;10;2;20;1;1;1;-;5;19;28;13;1;7;-;5;3;9;27;155
"316245 São João das Missões";-;-;2;-;9;-;-;-;-;-;8;20;6;1;2;3;2;4;1;44;102
"316250 São João del Rei";20;63;336;70;28;62;24;49;-;449;199;130;102;30;18;23;16;73;3;367;2062
"316255 São João do Manhuaçu";-;-;6;-;4;1;-;-;-;-;6;12;3;1;-;2;-;-;1;19;55
"316257 São João do Manteninha";-;-;6;1;4;-;-;-;-;-;3;11;2;-;1;1;1;-;-;11;41
"316260 São João do Oriente";-;-;1;1;4;-;-;-;-;-;9;7;9;2;1;2;-;1;6;5;48
"316265 São João do Pacuí";-;-;2;-;2;-;-;-;-;1;3;6;4;3;4;1;-;1;-;10;37
"316270 São João do Paraíso";1;1;5;2;11;-;1;1;-;1;12;22;5;1;2;2;3;7;1;44;122
"316280 São João Evangelista";1;4;13;3;4;-;2;-;-;3;7;14;5;2;2;6;1;3;-;34;104
"316290 São João Nepomuceno";3;4;36;16;5;5;1;4;-;34;17;24;11;5;2;7;2;10;-;51;237
"316292 São Joaquim de Bicas";-;3;30;8;9;3;2;-;-;12;27;50;9;2;3;2;18;20;-;55;253
"316294 São José da Barra";-;-;14;1;2;1;2;-;-;3;9;9;2;4;2;1;2;3;1;27;83
"316295 São José da Lapa";-;2;29;8;8;5;2;-;-;20;19;23;4;2;2;3;2;4;3;27;163
"316300 São José da Safira";-;-;-;1;2;-;-;-;-;-;3;5;2;-;1;1;-;1;-;7;23
"316310 São José da Varginha";-;1;5;2;2;1;1;-;-;1;3;14;5;-;2;1;1;2;-;7;48
"316320 São José do Alegre";-;-;7;1;1;1;-;-;-;-;2;4;1;1;-;1;-;1;-;4;24
"316330 São José do Divino";-;-;2;-;2;-;-;-;-;-;2;6;4;1;-;2;1;1;-;11;32
"316340 São José do Goiabal";-;-;2;1;2;-;-;-;-;-;2;3;1;-;1;1;2;2;1;10;28
"316350 São José do Jacuri";-;-;7;-;2;-;-;-;-;-;4;8;2;-;-;1;-;1;1;8;34
"316360 São José do Mantimento";-;-;1;-;1;1;-;-;-;1;3;6;2;-;1;2;-;1;-;9;28
"316370 São Lourenço";10;32;168;48;11;56;10;20;-;201;91;89;52;17;14;10;11;40;-;255;1135
"316380 São Miguel do Anta";-;-;1;-;3;-;1;-;-;1;4;9;5;-;3;8;3;3;1;12;54
"316390 São Pedro da União";-;-;6;2;2;1;-;-;-;-;5;9;2;2;1;4;-;2;-;11;47
"316410 São Pedro do Suaçuí";-;-;1;-;4;-;-;-;-;-;4;4;1;-;1;1;1;1;-;9;27
"316400 São Pedro dos Ferros";-;-;2;1;3;1;1;-;-;6;7;6;4;1;2;1;2;2;-;6;45
"316420 São Romão";-;-;4;-;6;-;-;1;-;-;4;16;3;1;2;1;-;1;-;23;62
"316430 São Roque de Minas";-;-;3;-;2;-;1;-;-;-;2;6;4;-;1;1;-;1;3;21;45
"316440 São Sebastião da Bela Vista";-;-;1;2;2;3;-;-;-;-;1;7;4;-;1;-;-;3;-;10;34
"316443 São Sebastião da Vargem Alegre";-;-;2;3;1;3;1;-;-;-;2;3;1;1;1;1;1;2;-;18;40
"316447 São Sebastião do Anta";-;-;2;1;2;1;-;-;-;-;2;4;3;-;2;1;1;1;1;8;29
"316450 São Sebastião do Maranhão";-;-;-;1;6;-;1;-;-;1;3;10;6;-;5;1;-;7;-;8;49
"316460 São Sebastião do Oeste";-;1;4;1;3;1;1;1;-;-;7;8;3;2;1;2;-;2;1;11;49
"316470 São Sebastião do Paraíso";16;29;186;41;42;39;23;14;-;253;97;278;96;37;35;30;30;88;1;284;1619
"316480 São Sebastião do Rio Preto";-;-;-;-;1;-;-;-;-;-;1;6;1;-;-;2;1;1;-;4;17
"316490 São Sebastião do Rio Verde";-;-;2;2;1;1;-;-;-;-;4;3;3;1;1;2;-;2;-;5;27
"316520 São Thomé das Letras";-;-;3;3;4;2;1;1;-;1;7;8;4;1;2;2;2;2;-;15;58
"316500 São Tiago";1;1;3;1;4;-;-;1;-;-;2;9;3;2;1;2;-;4;-;27;61
"316510 São Tomás de Aquino";-;1;15;10;3;1;2;-;-;12;6;8;4;1;1;1;1;2;1;14;83
"316530 São Vicente de Minas";1;2;7;4;5;4;-;1;-;9;8;9;7;1;1;3;2;4;-;6;74
"316540 Sapucaí-Mirim";-;1;3;1;1;1;-;-;-;-;5;3;4;2;-;2;2;2;-;11;38
"316550 Sardoá";-;-;-;1;2;-;-;-;-;-;2;6;2;2;1;1;1;1;-;6;25
"316553 Sarzedo";-;2;42;5;13;9;2;-;-;22;51;39;15;5;6;7;4;20;-;103;345
"316556 Sem-Peixe";-;-;1;1;1;1;-;-;-;1;1;1;1;1;1;1;-;1;-;10;22
"316557 Senador Amaral";-;-;2;2;2;1;-;-;-;1;2;9;1;-;2;3;1;2;-;12;40
"316560 Senador Cortes";-;-;1;1;1;-;-;-;-;1;1;1;2;1;-;-;-;-;-;1;10
"316570 Senador Firmino";-;-;14;-;4;2;2;-;-;2;1;14;4;2;2;2;2;7;-;23;81
"316580 Senador José Bento";-;-;2;2;1;1;-;-;-;1;2;3;3;1;1;1;-;2;-;7;27
"316590 Senador Modestino Gonçalves";-;-;3;1;2;-;-;1;-;1;2;9;4;-;2;1;-;1;2;9;38
"316600 Senhora de Oliveira";-;-;2;1;3;1;1;-;-;-;4;9;2;1;2;1;-;1;-;16;44
"316610 Senhora do Porto";-;-;-;-;2;-;-;1;-;-;2;4;1;-;1;2;1;1;-;3;18
"316620 Senhora dos Remédios";-;-;5;4;4;4;-;-;-;2;7;9;4;2;-;3;-;1;-;18;63
"316630 Sericita";-;-;1;-;3;1;-;-;-;-;13;8;5;1;1;3;-;3;1;10;50
"316640 Seritinga";-;-;1;1;1;2;1;-;-;3;1;7;5;1;2;1;1;1;-;7;35
"316650 Serra Azul de Minas";-;-;-;1;2;1;-;-;-;-;3;4;2;1;1;-;-;1;2;9;27
"316660 Serra da Saudade";-;-;-;-;1;-;-;-;-;-;2;3;1;-;2;-;-;1;-;2;12
"316680 Serra do Salitre";1;3;29;2;4;10;1;2;-;16;18;13;13;5;4;4;7;9;-;43;184
"316670 Serra dos Aimorés";-;-;2;1;3;-;1;-;-;-;3;6;3;-;1;1;-;1;2;8;32
"316690 Serrania";-;-;3;6;4;1;1;1;1;3;4;10;3;1;1;5;1;1;-;18;64
"316695 Serranópolis de Minas";-;-;-;-;2;-;-;-;-;-;4;4;2;-;3;1;1;1;-;5;23
"316700 Serranos";-;-;1;1;1;1;-;-;-;-;2;4;3;-;1;-;1;2;1;5;23
"316710 Serro";6;2;22;7;9;10;1;3;-;10;11;24;5;2;2;3;1;4;1;69;192
